iter	Passed	Remaining
0	60	60854
1	107	53749
2	149	49774
3	158	39465
4	163	32539
5	177	29339
6	184	26191
7	190	23652
8	212	23382
9	218	21655
10	225	20234
11	229	18885
12	233	17740
13	237	16722
14	243	16002
15	250	15388
16	256	14841
17	262	14294
18	268	13850
19	275	13477
20	281	13119
21	287	12790
22	294	12510
23	301	12242
24	306	11953
25	313	11727
26	319	11518
27	326	11343
28	335	11233
29	342	11083
30	371	11610
31	378	11437
32	385	11308
33	390	11086
34	397	10957
35	405	10868
36	412	10730
37	421	10671
38	429	10572
39	436	10485
40	444	10405
41	454	10359
42	460	10253
43	468	10184
44	474	10076
45	482	10006
46	489	9918
47	496	9840
48	503	9768
49	509	9677
50	519	9668
51	524	9560
52	532	9511
53	536	9394
54	541	9297
55	548	9246
56	555	9185
57	562	9135
58	566	9036
59	573	8984
60	579	8924
61	586	8869
62	593	8824
63	600	8778
64	607	8739
65	614	8693
66	619	8633
67	626	8584
68	632	8535
69	639	8497
70	646	8453
71	651	8396
72	658	8358
73	662	8293
74	669	8256
75	673	8189
76	680	8155
77	685	8107
78	693	8080
79	698	8031
80	705	7999
81	713	7987
82	722	7983
83	729	7960
84	742	7988
85	749	7962
86	753	7908
87	760	7879
88	784	8035
89	794	8035
90	800	8000
91	808	7977
92	815	7957
93	823	7934
94	830	7914
95	838	7894
96	844	7866
97	852	7850
98	893	8132
99	898	8089
100	906	8070
101	914	8052
102	920	8020
103	928	7999
104	936	7985
105	944	7969
106	949	7926
107	956	7897
108	962	7869
109	970	7848
110	978	7837
111	985	7811
112	993	7801
113	999	7770
114	1005	7736
115	1014	7733
116	1023	7721
117	1030	7700
118	1036	7677
119	1045	7666
120	1053	7654
121	1061	7635
122	1067	7612
123	1077	7610
124	1085	7595
125	1155	8012
126	1162	7993
127	1168	7963
128	1176	7942
129	1182	7910
130	1189	7890
131	1197	7874
132	1205	7857
133	1210	7820
134	1219	7815
135	1228	7803
136	1235	7779
137	1242	7758
138	1250	7743
139	1256	7721
140	1263	7698
141	1270	7674
142	1277	7656
143	1283	7632
144	1290	7608
145	1295	7574
146	1301	7550
147	1308	7533
148	1315	7510
149	1322	7495
150	1328	7469
151	1335	7451
152	1341	7429
153	1347	7403
154	1355	7388
155	1361	7367
156	1369	7354
157	1376	7334
158	1382	7314
159	1389	7293
